company_name,s1_filings_count
ClearSign Technologies Corp,3
GRAPHJET TECHNOLOGY,3
"Delsac VIII, Inc.",3
"M2i Global, Inc.",3
SCIENTIFIC LEARNING CORP,3
"ONE Group Hospitality, Inc.",3
Performant Healthcare Inc,3
"Lake Tahoe Cruises, LLC",3
PHOENIX MOTOR INC.,3
"AUTOMOTIVE FINANCE CONSUMER DIVISION, LLC",3
"United States Brent Oil Fund, LP",3
"DarkPulse, Inc.",3
CANNASYS INC,3
"Landy Textile Rental Services, LLC",3
"Micro-Metrics, Inc.",3
RIVERSOURCE MVA ACCOUNT,3
Currenc Group Inc.,3
Inspirato Inc,3
"POWER SOLUTIONS INTERNATIONAL, INC.",3
CRDENTIA CORP,3
MMCA AUTO RECEIVABLES INC,3
"Aeroflex Bloomingdale, Inc.",3
"LINDBLAD EXPEDITIONS HOLDINGS, INC.",3
"Tivic Health Systems, Inc.",3
"FlexShopper, Inc.",3
Allis Chalmers Energy Inc.,3
"LCE AcquisitionSub, Inc.",3
"ADM ENDEAVORS, INC.",3
Invesco CurrencyShares Chinese Renminbi Trust,3
"ARAMARK Sports, LLC",3
MELLON PREMIUM FINANCE LOAN OWNER TRUST,3
"Aeroflex RAD, Inc.",3
"Virgin Galactic Holdings, Inc",3
"GRID DYNAMICS HOLDINGS, INC.",3
"Securetech Innovations, Inc.",3
"ARAMARK RBI, Inc.",3
"Aramark Capital Asset Services, LLC",3
Geospatial Corp,3
"ARAMARK Services Management of SC, Inc.",3
"Iveda Solutions, Inc.",3
"ID Auto, Inc.",3
JENNIFER LOOMIS & ASSOCIATES INC,3
"AppHarvest, Inc.",3
"Molycorp, Inc.",3
"Cyxtera Technologies, Inc.",3
DATASEA INC.,3
INTERPOOL INC,3
ROGERS INTERNATIONAL RAW MATERIALS FUND LP,3
FiberTower CORP,3
"RING ENERGY, INC.",3
YURIE SYSTEMS INC,3
Opendoor Technologies Inc.,3
ARAMARK Uniform Services (West Adams) LLC,3
Lord Global Corp,3
"Axle Holdings, Inc.",3
ATLANTIC EXPRESS TRANSPORTATION CORP,3
PORTUS Corp,3
"MetaStat, Inc.",3
North American Oil & Gas Corp.,3
INTERLIANT INC,3
"SMART FOR LIFE, INC.",3
"HUGHES Telematics, Inc.",3
ARAMARK Uniform Services (Rochester) LLC,3
SouthPeak Interactive CORP,3
Genufood Energy Enzymes Corp.,3
DB BASE METALS MASTER FUND,3
ALTEROLA BIOTECH INC.,3
"MARIZYME, INC.",3
EPIC STORES CORP.,3
"Spyre Therapeutics, Inc.",3
"Shift4 Payments, Inc.",3
"Outset Medical, Inc.",3
BENTLEY SYSTEMS INC,3
Aramark Aviation Services Limited Partnership,3
"IronNet, Inc.",3
HAWKER BEECHCRAFT GLOBAL CUSTOMER SUPPORT Corp,3
JMXI INC,3
Carisma Therapeutics Inc.,3
Kisses From Italy Inc.,3
DYNAMEX INC,3
DB AGRICULTURE MASTER FUND,3
CRC CRYSTAL RESEARCH CORP,3
TRAVEL AIR INSURANCE CO LTD,3
TELSCAPE INTERNATIONAL INC,3
"Camping World Holdings, Inc.",3
Regen BioPharma Inc,3
"A.D.E. OF ARK-LA-TEX, INC.",3
WILLBROS GROUP INC,3
BROADVIEW NETWORKS HOLDINGS INC,3
"Thryv Holdings, Inc.",3
"Stem Holdings, Inc.",3
PRAECIS PHARMACEUTICALS INC,3
Amplify Energy Holdings LLC,3
Fathom Digital Manufacturing Corp,3
"AMYRIS, INC.",3
"FIREFLY NEUROSCIENCE, INC.",3
"MidgardXXI, Inc.",3
"JELD-WEN Holding, Inc.",3
HD View 360 Inc.,3
"Great Western Bancorp, Inc.",3
ZIFF DAVIS INC,3
"Pinstripes Holdings, Inc.",3
"World Scan Project, Inc.",3
"Nexalin Technology, Inc.",3
FOAMEX INTERNATIONAL INC.,3
"MoneyOnMobile, Inc.",3
"NeuroMetrix, Inc.",3
Neptune Wellness Solutions Inc.,3
VIRGIN MEDIA HOLDINGS INC.,3
"CohBar, Inc.",3
"Auspex Pharmaceuticals, Inc.",3
WESTMORELAND COAL Co,3
"Aramark Trademark Services, Inc.",3
Quality Industrial Corp.,3
VOLITIONRX LTD,3
"Endeavor Group Holdings, Inc.",3
"Globalstar, Inc.",3
EnzymeBioSystems,3
SMARTDISK CORP,3
"ARAMARK FHC Services, LLC",3
ProPetro Holding Corp.,3
"BullFrog AI Holdings, Inc.",3
MED DIVERSIFIED INC,3
GSRX INDUSTRIES INC.,3
"AEON Biopharma, Inc.",3
MEDICINOVA INC,3
Lipocine Inc.,3
ISC8 INC. /DE,3
BRAND SERVICES,3
"LCE Mexican Holdings, Inc.",3
"Embark Technology, Inc.",3
"SAB Biotherapeutics, Inc.",3
"LENZ Therapeutics, Inc.",3
"SS Innovations International, Inc.",3
"SPORTS FIELD HOLDINGS, INC.",3
NATIONWIDE FINANCIAL SERVICES INC /OH/,3
"Marker Therapeutics, Inc.",3
"Gannett Co., Inc.",3
SunGard Expert Solutions LLC,3
CERES TACTICAL SYSTEMATIC L.P.,3
PROSPECT GLOBAL RESOURCES INC.,3
"Veritas Farms, Inc.",3
"Aramark Sports & Entertainment Services of Texas, LLC",3
BOISE CASCADE Co,3
"Research Solutions, Inc.",3
YOUNG & RUBICAM INC.,3
ODYSSEY HEALTHCARE INC,3
"Cano Health, Inc.",3
"ADESA CHARLOTTE, LLC",3
"Ceres, Inc.",3
"BASANITE, INC.",3
"ARAMARK Entertainment, LLC",3
"SIOUX FALLS AUTO AUCTION, INC.",3
"INTEGRATED ENERGY SOLUTIONS, INC.",3
"MyAssistant, Inc.",3
FOUR OAKS FINCORP INC,3
"Eargo, Inc.",3
"ARAMARK Campus, LLC",3
AEROFLEX INC,3
"XBP Europe Holdings, Inc.",3
US GEOTHERMAL INC,3
"DS HEALTHCARE GROUP, INC.",3
ARAMARK Food Service CORP of Kansas,3
"ZeroFox Holdings, Inc.",3
"Korro Bio, Inc.",3
SPANISH BROADCASTING SYSTEM INC,3
Dex Liquidating Co.,3
"SoFi Technologies, Inc.",3
"Enterologics, Inc.",3
"EVO Payments, Inc.",3
"Fine Host Holdings, LLC",3
"GLOBAL BRASS & COPPER HOLDINGS, INC.",3
"EVERTEC, Inc.",3
"GREEN EARTH TECHNOLOGIES, INC",3
"ROVER GROUP, INC.",3
AMERICAN INTERNATIONAL PETROLEUM CORP /NV/,3
PMGC Holdings Inc.,3
"Quoin Pharmaceuticals, Ltd.",3
JAZZ SEMICONDUCTOR INC,3
GREEN TREE FLOORPLAN RECIEVABLES MASTER TRUST,3
"Odyssey Health, Inc.",3
HELLER FUNDING CORP,3
ENAMELON INC,3
"Alpha Teknova, Inc.",3
DB Energy Master Fund,3
PHYSICIANS SPECIALTY CORP,3
Cantabio Pharmaceuticals Inc.,3
GRAFTECH INTERNATIONAL LTD,3
Invesco CurrencyShares Singapore Dollar Trust,3
"RVUE HOLDINGS, INC.",3
"Father Time, Inc.",3
GREENFIELD ONLINE INC,3
LASON INC,3
ARAMARK India Holdings LLC,3
"ARAMARK Healthcare Support Services, LLC",3
Vuzix Corp,3
Energy Alliance Technology Corp,3
UBI Blockchain Internet LTD-DE,3
GUARANTY FEDERAL BANCSHARES INC,3
SunGard Canada Holdings Inc.,3
"60 DEGREES PHARMACEUTICALS, INC.",3
"Katapult Holdings, Inc.",3
ASSET RECOVERY & MANAGEMENT CORP,3
Athene Holding Ltd.,3
DB Oil Master Fund,3
"ARAMARK Industrial Services, LLC",3
"Aeroflex/Inmet, Inc.",3
"Eco-Stim Energy Solutions, Inc.",3
"Harrison Conference Services of North Carolina, LLC",3
"AUTO DEALERS EXCHANGE OF CONCORD, LLC",3
RiceBran Technologies,3
"NIVS IntelliMedia Technology Group, Inc.",3
ACTIVE NETWORK INC,3
"NORTHSIGHT CAPITAL, INC.",3
GASCO ENERGY INC,3
MEDIZONE INTERNATIONAL INC,3
DRIVETIME AUTOMOTIVE GROUP INC,3
RICHTECH ROBOTICS INC.,3
"View, Inc.",3
EBASEONE CORP,3
NAKED BRAND GROUP INC.,3
FIRSTPLUS FINANCIAL GROUP INC,3
PLAYERS NETWORK,3
"Aramark Senior Living Services, LLC",3
"Ampio Pharmaceuticals, Inc.",3
BLUE VALLEY BAN CORP,3
"GeoEye, Inc.",3
"IAA Services, Inc.",3
"REMY INTERNATIONAL, INC.",3
"AdvancePierre Foods Holdings, Inc.",3
Aralez Pharmaceuticals Plc,3
"Aeluma, Inc.",3
Neiman Marcus Group LTD LLC,3
"HIGH WIRE NETWORKS, INC.",3
MOVE INC,3
SOUTHERN PACIFIC FUNDING CORP,3
"SCIELE PHARMA, INC.",3
BODY CENTRAL CORP,3
"NEXGEL, INC.",3
"ARAMARK Cleanroom Services (Puerto Rico), Inc.",3
EnergyConnect Group Inc,3
"ADESA-SOUTH FLORIDA, LLC",3
Singularity Future Technology Ltd.,3
DB SILVER MASTER FUND,3
Alpha Investment Inc.,3
Proterra Inc,3
"Vroom, Inc.",3
"Harrison Conference Center of Glen Cove, Inc.",3
"NEON Communications Group, Inc.",3
"cbdMD, Inc.",3
"Zivo Bioscience, Inc.",3
"Vaneltix Pharma, Inc.",3
NATIONSRENT INC,3
"Synaptogenix, Inc.",3
"Bluejay Diagnostics, Inc.",3
"GRESHAM WORLDWIDE, INC.",3
"ARAMARK Educational Services, LLC",3
"ADESA FLORIDA, LLC",3
WESTECH CAPITAL CORP,3
World Surveillance Group Inc.,3
Atlas Lithium Corp,3
DICE INC,3
"Accolade, Inc.",3
"Echo Automotive, Inc.",3
"Eagle Test Systems, Inc.",3
AccuShares Trust I,3
"STINGER SYSTEMS, INC",3
"China CGame, Inc.",3
"NephroGenex, Inc.",2
Rodobo International Inc,2
HEADHUNTER NET INC,2
LGL GROUP INC,2
"Mansfield-Martin Exploration Mining, Inc.",2
Biopower Operations Corp,2
VANGUARD HEALTH SYSTEMS INC,2
SNYDER COMMUNICATIONS INC,2
"BuzzFeed, Inc.",2
NowNews Digital Media Technology Co. Ltd.,2
"NXT Nutritionals Holdings, Inc.",2
AMERICAN RESIDENTIAL SERVICES INC,2
"Solid Power, Inc.",2
"China Intelligent Lighting & Electronics, Inc.",2
"EV Charging USA, INC",2
AQUANTIVE INC,2
US UNWIRED INC,2
BORON LEPORE & ASSOCIATES INC,2
"IES Holdings, Inc.",2
ANDERSON DIAGNOSTIC IMAGING INC,2
Assent Software LLC,2
Freedom Internet Group Inc.,2
Rice Midstream Partners LP,2
Tower US Holdings Inc.,2
"Old Ayala, Inc",2
VISTANA INC,2
R1 RCM Holdco Inc.,2
OPEN MRI & IMAGING OF RICHMOND INC,2
Africa Growth Corp,2
"Equillium, Inc.",2
FEDERAL KEMPER LIFE ASSURANCE CO,2
VERITAS SOFTWARE CORP,2
CHARTER FINANCIAL CORP,2
"SAFETY-KLEEN, INC",2
Lucky Strike Entertainment Corp,2
SIEBERT FINANCIAL CORP,2
"SendGrid, Inc.",2
"TaskUs, Inc.",2
"Vaxart, Inc.",2
PARACELSUS HEALTHCARE CORP,2
XCEL PHARMACEUTICALS INC,2
"Spectrum Manufacturing, Inc.",2
DG LOGISTICS LLC,2
"QualSat, LLC",2
Agriculture & Natural Solutions Acquisition Corp,2
"Premier Power Renewable Energy, Inc.",2
MCA FINANCIAL CORP /MI/,2
Silk Road Medical Inc,2
"LanzaTech Global, Inc.",2
Rocket Fuel Inc.,2
HANCOCK JOHN VARIABLE LIFE INSURANCE CO,2
"METROSPACES, INC.",2
"Transphorm, Inc.",2
Montage Resources Corp,2
ASIA TIME CORP,2
"IPC Healthcare, Inc.",2
"Avenir Wellness Solutions, Inc.",2
NUANCE COMMUNICATIONS,2
"Medifirst Solutions, Inc.",2
NP Losee Elkhorn Holdings LLC,2
APPIAN CORP,2
"Diamond Wellness Holdings, Inc.",2
"NTS, INC.",2
"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",2
MacroShares $100 Oil Up Trust,2
THOUSAND TRAILS INC /DE/,2
"Claymont Steel Holdings, Inc.",2
Targa Resources Partners LP,2
NRT Pittsburgh LLC,2
"Unique Logistics International, Inc.",2
TERAYON COMMUNICATION SYSTEMS,2
CYSIVE INC,2
Real Estate Referrals LLC,2
"CGRN, Inc.",2
FIRST PLACE FINANCIAL CORP /DE/,2
"CHINA GEWANG BIOTECHNOLOGY, INC.",2
GRIID Infrastructure Inc.,2
"MediXall Group, Inc.",2
SCIENT CORP,2
"Red Rock Resorts, Inc.",2
"PB PROPERTIES, INC.",2
INFOBLOX INC,2
ZOLTEK COMPANIES INC,2
LCC INTERNATIONAL INC,2
"Solar Thin Films, Inc.",2
"TruGolf Holdings, Inc.",2
Graham Packaging Co Inc.,2
Realogy Services Venture Partner LLC,2
Keystone Closing Services LLC,2
Ubiquiti Inc.,2
"Retail Risk Solutions, LLC",2
GLOBAL DIGITAL SOLUTIONS INC,2
CF BANKSHARES INC.,2
"Vacasa, Inc.",2
"Yongye International, Inc.",2
"USF Mexico, Inc.",2
ASTROPOWER INC,2
NEXTLINK COMMUNICATIONS INC /DE/,2
"ARATANA THERAPEUTICS, INC.",2
GEOPETRO RESOURCES CO,2
Winvest Group Ltd,2
OMNI NUTRACEUTICALS,2
ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,2
Target Group Inc.,2
Concurrent Group LLC,2
"Apotheca Biosciences, Inc.",2
OMNIA WELLNESS INC.,2
BUCKHEAD COMMUNITY BANCORP INC,2
GENVEC INC,2
PROKIDNEY CORP.,2
VENDUM BATTERIES INC.,2
"PROJECT SAGE OLDCO, INC.",2
Drilling Tools International Corp,2
West Coast Escrow CO,2
SOUTHERN FINANCIAL BANCORP INC /VA/,2
DIVERSIFIED 2000 FUTURES FUND L.P.,2
Ecolivegreen Corp,2
"Monterey Management, Inc.",2
CVENT HOLDING CORP.,2
"WESTERN CAPITAL RESOURCES, INC.",2
VISIGENIC SOFTWARE INC,2
"Schrodinger, Inc.",2
VINE ENERGY INC.,2
ALLSCRIPTS INC /IL,2
"ESP Resources, Inc.",2
"CLS Capital Group, Inc.",2
"FiscalNote Holdings, Inc.",2
"Global Blood Therapeutics, Inc.",2
"AveXis, Inc.",2
"SQBG, Inc.",2
"Enable Holdings, Inc.",2
FERRELLGAS PARTNERS L P,2
RVL Pharmaceuticals plc,2
"AMERICAN NOBLE GAS, INC.",2
PACKARD BIOSCIENCE CO,2
DIAGNOSTIC IMAGING OF GEORGIA LLC,2
"dELiAs, Inc.",2
PROVANT INC,2
VINCE HOLDING CORP.,2
"Smoke Cartel, Inc.",2
CHINA GLOBAL MEDIA INC,2
Cooper-Standard Automotive Fluid Systems Mexico Holding LLC,2
"K2M GROUP HOLDINGS, INC.",2
"American Railcar Industries, Inc.",2
"RHYTHM PHARMACEUTICALS, INC.",2
"Applica Mexico Holdings, Inc.",2
"PHASERX, INC.",2
KUN DE INTERNATIONAL HOLDINGS INC.,2
Desert Hawk Gold Corp.,2
ETERNITY HEALTHCARE INC.,2
iPower Inc.,2
OPEN MRI & IMAGING OF ATHENS LLC,2
"Sotheby's International Realty, Inc.",2
"Tri-Tech Holding, Inc.",2
"Viridian Therapeutics, Inc.\DE",2
"Skkynet Cloud Systems, Inc.",2
NRT Northfolk LLC,2
"ANAPTYSBIO, INC",2
HEALTHY CHOICE WELLNESS CORP.,2
Hamilton Lane INC,2
"South Boston Holdings, Inc.",2
Canwealth Minerals Corp,2
"Alpha Natural Resources, Inc./Old",2
"WCI, LLC",2
TAW Holding Inc.,2
"QualTek MidCo, LLC",2
"Tharimmune, Inc.",2
Hero Technologies Inc.,2
HEDSTROM HOLDINGS INC,2
Pegasi Energy Resources Corporation.,2
F&M BANK CORP,2
WISCONSIN DIAGNOSTIC IMAGING INC,2
Heritage Global Inc.,2
"Riot Platforms, Inc.",2
Offerpad Solutions Inc.,2
"KACHING KACHING, INC.",2
"REDCATS USA, INC.",2
Beam Global,2
"ECD Automotive Design, Inc.",2
QualTek Recovery Logistics LLC,2
Aina Le'a Inc.,2
Rhino Resource Partners LP,2
Medical Care Technologies Inc.,2
ORATEC INTERVENTIONS INC,2
BLACK ROCK PRINCIPAL PROTECTION LP,2
ODYSSEY MARINE EXPLORATION INC,2
"ACCEL BRANDS, INC.",2
"Foundation Healthcare, Inc.",2
"ConnectM Technology Solutions, Inc.",2
"CardioVascular BioTherapeutics, Inc.",2
GENERAL WIRELESS INC,2
"NEONC TECHNOLOGIES HOLDINGS, INC.",2
WEBTRENDS CORP,2
"TRULIA, INC.",2
HOME HEALTH CORP OF AMERICA INC \PA\,2
"Peekay Boutiques, Inc.",2
"OptiNose, Inc.",2
AQUA POWER SYSTEMS INC.,2
GrowGeneration Corp.,2
GREAT-WEST LIFE & ANNUITY INSURANCE CO of NEW YORK,2
"Portfolio Acquisitions, LLC",2
NET Power Inc.,2
"American Tire Distributors Holdings, Inc.",2
"REIC Holdings, Inc.",2
AVALON PHARMACEUTICALS INC,2
"Keros Therapeutics, Inc.",2
NORTHEAST COLUMBIA DIAGNOSTIC IMAGING INC,2
Greenrose Holding Co Inc.,2
"SolarWinds, Inc.",2
Vivid Seats Inc.,2
"FIRST HAWAIIAN, INC.",2
"Tricida, Inc.",2
TransUnion,2
"CITRINE GLOBAL, CORP.",2
"Continental Resources Group, Inc.",2
"American Technical Molding, Inc.",2
"Zentric, Inc.",2
"NOS4-1, Inc.",2
QualTek Wireline LLC,2
"Live Oak Bancshares, Inc.",2
TRANSPORTATION TECHNOLOGIES INDUSTRIES INC,2
Navitas Semiconductor Corp,2
ROADWAY NEXT DAY CORP,2
CATALYTICA ENERGY SYSTEMS INC,2
MEDIAPLEX INC,2
USF SALES CORP,2
"Metromile, LLC",2
GP-Act III Acquisition Corp.,2
ALTEON WEBSYSTEMS INC,2
LIFEMINDERS INC,2
"NCOP XI, LLC",2
Embarq CORP,2
DIAGNOSTIC IMAGING OF HIRAM LLC,2
GlassHouse Technologies Inc,2
Bazaarvoice Inc,2
"EVERBRIDGE, INC.",2
"Energy Vault Holdings, Inc.",2
"Cibus, Inc.",2
"eMusic.com, Inc.",2
REPUBLIC AIRWAYS HOLDINGS INC,2
SBC Medical Group Holdings Inc,2
"DoubleVerify Holdings, Inc.",2
PERVASIVE SOFTWARE INC,2
"FORESCOUT TECHNOLOGIES, INC",2
Wildcap Energy Inc.,2
"DG Retail, LLC",2
Bioventus Inc.,2
"Vicor Technologies, Inc.",2
Santana Products Inc.,2
"HTG MOLECULAR DIAGNOSTICS, INC",2
NEUSTAR INC,2
Ivanhoe Electric Inc.,2
"Anthology, Inc.",2
Equity Title Messenger Service Holding LLC,2
API Technologies Corp.,2
"GLOBAL MOBILETECH, INC.",2
"Tarpon Industries, Inc.",2
Attis Industries Inc.,2
"National Manufacturing Mexico A, LLC",2
ETFS Asian Gold Trust,2
"ALTITUDE INTERNATIONAL HOLDINGS, INC.",2
HAPEVILLE DIAGNOSTIC IMAGING LLC,2
EMERSON RADIO CORP,2
"Getaround, Inc",2
"Butterfly Network, Inc.",2
"Electric Last Mile Solutions, Inc.",2
NRT Settlement Services of Texas LLC,2
"Comprehensive OPEN MRI-Carmichael/Folsom, LLC",2
ASPEN AEROGELS INC,2
NDDC INC,2
"NYIAX, INC.",2
"Angie's List, Inc.",2
FUTURE MEDIA PRODUCTIONS,2
HOUSEHOLD FINANCE CORP HOUSEHOLD AFF CRE CAR MAS TR I,2
METALS USA HOLDINGS CORP.,2
"BLACKPOLL FLEET INTERNATIONAL, INC.",2
Titan Machinery Inc.,2
BOSTON OMAHA Corp,2
"Solar Park Initiatives, Inc.",2
KENDLE INTERNATIONAL INC,2
Coldwell Banker Residential Brokerage LLC,2
"BioNumerik Pharmaceuticals, Inc.",2
"Vital Farms, Inc.",2
Intelimax Media Inc.,2
CVR ENERGY INC,2
"Ardea Biosciences, Inc./DE",2
"Eloqua, Inc.",2
Armlogi Holding Corp.,2
OCCUPATIONAL SOLUTIONS INC,2
SCRANTON PRODUCTS INC.,2
"Ignite Restaurant Group, Inc.",2
MEDISAFE 1 TECHNOLOGIES CORP,2
GULFTERRA ENERGY PARTNERS L P,2
HORIZON PCS INC,2
"Global Employment Holdings, Inc.",2
Flitways Technology Inc.,2
James River Coal CO,2
GROVE DIAGNOSTIC IMAGING CENTER INC,2
"Xponential Fitness, Inc.",2
"Atara Biotherapeutics, Inc.",2
GMS Capital Corp.,2
"CS Disco, Inc.",2
"YRC ENTERPRISE SERVICES, INC.",2
Memory Book Acquisition LLC,2
CRITICAL PATH INC,2
"HD Supply Holdings, Inc.",2
"Vera Therapeutics, Inc.",2
DIGITAL LIGHTWAVE INC,2
"BeiGene, Ltd.",2
AUTOTRADECENTER COM INC,2
PARAGON FINANCIAL CORP,2
National Coordination Alliance LLC,2
"EFLO ENERGY, INC.",2
Good Times Restaurants Inc.,2
"Mobile Vault, Inc.",2
ROADWAY EXPRESS INTERNATIONAL INC,2
"Fresh Vine Wine, Inc.",2
TELIGENT INC,2
"Fortune Valley Treasures, Inc.",2
"Aquestive Therapeutics, Inc.",2
CYBERDEFENDER CORP,2
GOLDEN PHOENIX MINERALS INC,2
GOLDEN TELECOM INC,2
"Clearside Biomedical, Inc.",2
Better Home & Finance Holding Co,2
Texas American Title CO,2
HEALTH DISCOVERY CORP,2
"MyDx, Inc.",2
"Ranger Energy Services, Inc.",2
MONTAGE TECHNOLOGY GROUP LTD,2
NOVADEL PHARMA INC,2
"HeartBeam, Inc.",2
BIOIMAGING AT HARDING INC,2
"WATCHIT MEDIA, INC.",2
Enertopia Corp.,2
"Heritage-Crystal Clean, Inc.",2
TRIAD IMAGING INC,2
EVgo Inc.,2
LandBridge Co LLC,2
U S A FLORAL PRODUCTS INC,2
VINA TECHNOLOGIES INC,2
"MELINTA THERAPEUTICS, INC. /NEW/",2
TRANSATLANTIC PETROLEUM LTD.,2
JRSIS HEALTH CARE Corp,2
Norwegian Cruise Line Holdings Ltd.,2
Anterix Inc.,2
SBM CERTIFICATE CO,2
NEFF CORP,2
LIGHTBRIDGE Corp,2
Sterling Investments CO,2
Forza Innovations Inc,2
"Nostalgia Family Brands, Inc.",2
OppFi Inc.,2
EYETECH PHARMACEUTICALS INC,2
GENERAL STEEL HOLDINGS INC,2
TRITON ACQUISITION CO,2
"BILL Holdings, Inc.",2
"Forza X1, Inc.",2
"Naples Soap Company, Inc.",2
"MyoKardia, Inc.",2
"Allena Pharmaceuticals, Inc.",2
"Poseida Therapeutics, Inc.",2
12 Retech Corp,2
SUPERIOR NATIONAL INSURANCE GROUP INC,2
"NKGen Biotech, Inc.",2
WALKER INNOVATION INC.,2
XOOM Corp,2
"China Solar & Clean Energy Solutions, Inc.",2
TELKONET INC,2
OGLEBAY NORTON CO /OHIO/,2
NEXT-ChemX Corporation.,2
RADIENT PHARMACEUTICALS Corp,2
"Galenfeha, Inc.",2
DRUGSTORE COM INC,2
ShoreTel Inc,2
"Cogent, Inc.",2
BRIGHTSTAR INFORMATION TECHNOLOGY GROUP INC,2
"Robinhood Markets, Inc.",2
"Saleen Automotive, Inc.",2
NEXT WAVE TELECOM INC,2
U.S. Dry Cleaning Services Corp,2
"Specialty Underwriters Alliance, Inc.",2
"@ROAD, INC",2
CHINA MEDIA INC.,2
Crestwood Midstream Partners LP,2
Salvage Disposal CO of Georgia,2
"POPEYES LOUISIANA KITCHEN, INC.",2
"SideChannel, Inc.",2
"Orchestra BioMed Holdings, Inc.",2
SLI INC,2
Metaurus Equity Component Trust,2
SANTARUS INC,2
NRT Settlement Services of Missouri LLC,2
"Augmedix, Inc.",2
UNILAB CORP /DE/,2
VirnetX Holding Corp,2
RIVER VALLEY BANCORP,2
RetinalGenix Technologies Inc.,2
Sunset Island Group,2
"Latch, Inc.",2
"NLIGHT, INC.",2
"Genesis Electronics Group, Inc.",2
SHAMAN PHARMACEUTICALS INC,2
DOUBLECLICK INC,2
"Professional Diversity Network, Inc.",2
"Bellerophon Therapeutics, Inc.",2
INPHONIC INC,2
OPEN MRI & IMAGING OF DEKALB LLC,2
Noble Midstream Partners LP,2
"Boxceipts.com, Inc.",2
"HINTO ENERGY, INC",2
"Disc Medicine, Inc.",2
W-H ENERGY SERVICES INC,2
"Eve Holding, Inc.",2
NETOBJECTS INC,2
China VTV Ltd,2
LANDCARE USA INC,2
"BigCommerce Holdings, Inc.",2
AMERICAN SKIING CO /ME,2
"POKERTEK, INC.",2
"Kelvin Medical, Inc.",2
"Emerald Holding, Inc.",2
Vontier Corp,2
"Earth Science Tech, Inc.",2
VITRIA TECHNOLOGY INC,2
WILLIAM LYON HOMES,2
CALIPER LIFE SCIENCES INC,2
Juniper Bond Holdings IV LLC,2
Monster Arts Inc.,2
OPENTABLE INC,2
VIRAGEN INTERNATIONAL INC,2
"Talkspace, Inc.",2
YIJIA GROUP CORP.,2
Parabel Inc.,2
Baltic Trading Ltd,2
IMAGEX COM INC,2
RIVERSTONE NETWORKS INC,2
"HydroPhi Technologies Group, Inc.",2
"SomaLogic, Inc.",2
XO HOLDINGS INC,2
"YRC International Investments, Inc.",2
SIEBEL SYSTEMS INC,2
"Simplicity Bancorp, Inc.",2
Proto Labs Inc,2
NEXTCARD INC,2
McAfee Corp.,2
SILICON ENERGY CORP,2
AIR T INC,2
OSCIENT PHARMACEUTICALS CORP,2
Stewart & Stevenson LLC,2
GOLDLEAF FINANCIAL SOLUTIONS INC.,2
iWallet Corp,2
AMERICAN RETIREMENT CORP,2
"StemGen, Inc.",2
"NVN Liquidation, Inc.",2
Cuentas Inc.,2
"SSA GLOBAL TECHNOLOGIES, INC",2
Referral Network LLC,2
CADUS CORP,2
"Armco Metals Holdings, Inc.",2
VNUS MEDICAL TECHNOLOGIES INC,2
IMAGING SERVICES OF ALABAMA INC,2
MAVENIR SYSTEMS INC,2
Armored AutoGroup Sales Inc.,2
MC LIQUIDATING CORP,2
Flexion Therapeutics Inc,2
MicroHedge LLC,2
Bumble Inc.,2
CLOSURE MEDICAL CORP,2
Entegra Financial Corp.,2
PARTICLE DRILLING TECHNOLOGIES INC/NV,2
Anvia Holdings Corp,2
"Bright Mountain Media, Inc.",2
"Gulf South Settlement Services, LLC",2
"Lithium Exploration Group, Inc.",2
NRT Development Advisors LLC,2
Plastinum Polymer Technologies Corp.,2
"i3 Verticals, Inc.",2
"MAPTELLIGENT, INC.",2
"Frontier Group Holdings, Inc.",2
Stimcell Energetics Inc.,2
CAREY INTERNATIONAL INC,2
"Trade Desk, Inc.",2
"Moxian, Inc.",2
"Tiger Reef, Inc.",2
"Telanetix,Inc",2
Volcom Inc,2
"NANOVIRICIDES, INC.",2
"Myriad Interactive Media, Inc.",2
"SAFE AUTO INSURANCE GROUP, INC.",2
ATC Technology CORP,2
"Amneal Pharmaceuticals, Inc.",2
"NEW CINGULAR WIRELESS SERVICES, INC.",2
"INTERCELL USA, INC.",2
SYNTHESIS ENERGY SYSTEMS INC,2
BIG SKY ENERGY CORP,2
BIOPHAN TECHNOLOGIES INC,2
KINETIC CONCEPTS INC,2
Burnet Realty LLC,2
LHS GROUP INC,2
"DAVI SKIN, INC.",2
ADERIS PHARMACEUTICALS INC,2
"YRC LOGISTICS SERVICES, INC.",2
"China Integrated Energy, Inc.",2
TULARIK INC,2
"Sunshine Group, Ltd.",2
MAXUM HEALTH SERVICES OF DALLAS INC,2
"22nd Century Group, Inc.",2
"Charge Enterprises, Inc.",2
"MWI Veterinary Supply, Inc.",2
ITXC CORP,2
HOTJOBS COM LTD,2
AVANT TECHNOLOGIES INC.,2
"ECO SCIENCE SOLUTIONS, INC.",2
USF HOLLAND INC.,2
QUOVADX INC,2
"Fulcrum Therapeutics, Inc.",2
MEDNET MPC CORP,2
"Auto Disposal of Bowling Green, Inc.",2
CPG SUB I CORP,2
COMMONWEALTH BANKSHARES INC,2
